taxa,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
X347,-77.4895502817616,-51.9499862759819,-13.6180087257874,36.4736702972757,8.25627386967573,87.4399181194028,-0.0528398587722711,13.8675557994866,-61.2790383731439,-2.28669534822191
X175,131.646714306607,-23.5362276555917,-42.1245081610166,-116.250927371713,-14.3154905831226,-16.5084815601404,44.7730539733759,-99.8723378433196,33.7994473852971,59.8376453985797
X153,162.107430330781,110.486390993233,-29.9008789461679,-181.897341558726,-30.5979476583099,58.4698354929689,-32.8467681364848,95.0823882202285,47.5637181013209,-11.730188883333
X243,126.750059084704,60.5576006659866,1.30978823492017,24.135937466775,48.7915109397818,47.8877251707602,-36.3888779696981,90.3086510462919,-45.7681330545016,-83.1170740337225
X178,76.8286236700667,65.8605177997317,40.00651735174,62.6236404651181,-30.5406678124837,-20.8508976631554,-24.4499491835747,-56.4684782031458,10.6719238152203,4.94701583118024
X145,186.406769280743,155.333173522344,43.4200414064476,75.342381263828,59.2397239933593,23.7011168199766,51.1210787621635,-6.64452203095252,-38.4917365046315,-44.9510023553135
X228,71.0925797272131,59.0644841150353,92.8030323494313,81.5564481130477,-39.5616811701481,-17.8613662828823,-33.3472755093586,-61.0126744514572,6.48696790213948,-14.5227325009233
X326,36.8345257837752,-216.533618011301,-24.0012126274827,100.259049995702,37.2335035255203,7.05630504537955,-23.1284004614382,49.6336848665185,20.4271656593345,7.11401567314297
X137,158.636989019718,-51.1679586306101,34.7677112998297,-72.075800344711,-69.0601940949343,-95.3042640705297,-70.767946430294,-11.0378113780979,94.2925593989359,32.1588899556054
X217,7.3599881450823,-166.118040183914,-44.3085176874105,43.3295903358166,-15.2955854475445,53.1870518581966,16.609945851785,27.6199852456829,-10.5233618142823,28.1150026553216
X48,-144.825760047292,68.2503126080767,-140.496003564493,-24.731843670524,-64.488049234535,-2.57190091201189,-32.9558792838639,-44.656266880467,-46.1021776870248,-2.91514234110477
X369,-196.02400042305,109.893309105417,-161.544477284988,33.2345482914583,15.5759176921931,35.9048176153604,63.8775655584414,0.636164829989725,95.0696411318807,-67.1454393738588
X29,-225.459137060355,7.53969361759801,101.73087914152,-161.180959420677,168.795530140244,-51.666727751511,-58.4949106212899,-19.2390564668745,-6.25573400528598,-40.7388249546424
X100,-201.387869961104,36.3225574727545,19.161847872723,46.3213450945831,-125.801188624462,123.378396709002,38.5147186620732,54.9048007967581,80.2020853326673,74.7930627748874
X297,-24.887640119189,-135.726060683849,-39.1618302082669,41.4575040084372,-56.4116852245318,-199.645683295185,119.656937585614,88.5193733202297,-63.9692988764611,-23.3699828577488
X246,99.6032979641437,60.2926736561825,89.1122040226781,69.1822555696291,7.63570697951597,-25.6971494921364,-77.8153554224226,-65.9571508025978,-1.04274101349839,7.00537637543577
X247,-120.196959998245,-6.25768859005751,-18.0350306540928,45.1224290827828,20.5887466346088,-15.6267053799417,12.0900742889367,33.450923546399,2.90476609064204,-2.73980258893665
X113,131.032064889524,-31.3204763976285,-19.90444165716,-16.614763781624,2.14135443648748,20.9573415390211,16.3916583468453,-16.6957288020374,-2.3374766682737,-64.921294309577
X51,-205.042655264498,78.4746732097662,-196.120068009633,40.4715798860888,-73.1817890699432,-22.0113983718224,-106.941948909933,14.6087298381213,-54.8290973029252,-51.618062685839
X305,25.7833446184484,-119.514156827653,-24.1854040760289,17.2393747013997,12.6230478117651,10.251657434382,13.8371777087246,26.9258813593011,15.9670048511615,3.26986203343198
X11,-43.0492124061761,35.5045893317795,-6.26786050145779,54.9058263419408,-8.87666282854764,63.9146905068856,15.1502420586675,-65.4136743332308,-16.2411771964922,43.0783758758299
X278,-122.202633552003,-53.4988502391893,253.266971144398,79.0297116057804,-210.84543642662,28.3562597747307,-116.77196328293,3.02125148869942,2.44261052948661,2.0739740105402
X163,97.6537333153994,38.6610013032078,95.5761091110465,72.7446848599893,-79.0441588006556,9.95339985649648,-84.9131237321081,-62.8284593757824,38.5733729745167,-52.8794612744562
X141,168.636225071895,129.116405724655,50.3302042375804,100.706367247141,112.034118624267,59.7006265376354,-2.68267344775438,41.8399469435494,-50.7328243018182,-44.4283113470576
X179,119.35258345268,-5.96167464696564,-15.841751644818,-79.465466135571,-93.4834675660503,-23.7133598686919,-43.5223721668052,-28.345748582665,59.5721275176398,-47.8863966371441
